 Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
-2.34158764,86,0.260091985,0,-4.602021642
-3.258254307,85,0.208073588,0,-5.552842849
-4.174920973,84,0.156055191,0,-6.595041384
-5.09158764,83,0.104036794,0,-7.595377883
-6.008254307,82,0.052018397,0,-8.613020827
-6.924920973,81,0,0,-9.733758082
-6.924920973,80.83333333,0,0,-9.589314897
-6.924920973,80.66666667,0,0,-9.604416619
-6.924920973,80.5,0,0,-9.592840099
-6.924920973,80.33333333,0,0,-9.602539793
-6.924920973,80.16666667,0,0,-9.617378939
-6.924920973,80,0,0,-9.612781651
-6.49158764,82,0,0,-9.114089629
-6.058254307,84,0,0,-8.688480675
-5.624920973,86,0,0,-8.260584014
-5.19158764,88,0,0,-7.81699449
-4.758254307,90,0,0,-7.369163944
-4.324920973,92,0,0,-6.935190094
-4.39158764,92,0,0,-7.074995165
-4.458254307,92,0,0,-7.130887124
-4.524920973,92,0,0,-7.191747592
-4.59158764,92,0,0,-7.266221727
-4.658254307,92,0,0,-7.345926396
-4.724920973,92,0,0,-7.409844097
-4.658254307,92.5,0,0,-7.318750438
-4.59158764,93,0,0,-7.260047316
-4.524920973,93.5,0,0,-7.203358879
-4.458254307,94,0,0,-7.132830722
-4.39158764,94.5,0,0,-7.058655206
-4.324920973,95,0,0,-6.997421882
-4.54158764,94.5,0.052018397,0,-7.132075933
-4.758254307,94,0.104036794,0,-7.307003533
-4.974920973,93.5,0.156055191,0,-7.484466204
-5.19158764,93,0.208073588,0,-7.679406626
-5.408254307,92.5,0.260091985,0,-7.881130885
-5.624920973,92,0.312110381,0,-8.073902351
-6.19158764,90.83333333,0.260091985,0,-8.653694955
-6.758254307,89.66666667,0.208073588,0,-9.198544418
-7.324920973,88.5,0.156055191,0,-9.756886619
-7.89158764,87.33333333,0.104036794,0,-10.30930759
-8.458254307,86.16666667,0.052018397,0,-10.86838174
-9.024920973,85,0,0,-11.51076183
-9.024920973,85,0.104036794,0,-11.2548317
-9.024920973,85,0.208073588,0,-11.20538147
-9.024920973,85,0.312110381,0,-11.14531217
-9.024920973,85,0.416147175,0,-11.10776281
-9.024920973,85,0.520183969,62.20089249,-1.274164814
-9.024920973,85,0.624220763,79.06943825,-0.458051661
-8.39158764,86,0.520183969,98.06758873,2.73661264
-7.758254307,87,0.416147175,105.4493363,3.911808666
-7.124920973,88,0.312110381,113.8979437,5.652377019
-6.49158764,89,0.208073588,135.395098,8.995644437
-5.858254307,90,0.104036794,158.1993803,12.21078392
-5.224920973,91,0,193.82269,17.68121201
-5.024920973,90.16666667,0,219.4289691,19.61444409
-4.824920973,89.33333333,0,245.9626594,22.53232158
-4.624920973,88.5,0,273.0534303,25.15970664
-4.424920973,87.66666667,0,285.6330155,26.15244745
-4.224920973,86.83333333,0,298.1117417,27.50791975
-4.024920973,86,0,310.4634957,28.75309668
-3.69158764,86,0.052018397,322.662777,28.15859263
-3.358254307,86,0.104036794,334.6843833,29.12921032
-3.024920973,86,0.156055191,346.5031741,29.84876743
-2.69158764,86,0.208073588,350.7527679,29.97928745
-2.358254307,86,0.260091985,338.5293427,28.69716609
-2.024920973,86,0.312110381,341.7434122,29.29548695
-1.69158764,85,0.364128778,344.5970643,29.44894214
-1.358254307,84,0.416147175,347.100763,29.70177949
-1.024920973,83,0.468165572,349.2668693,29.9180219
-0.69158764,82,0.520183969,363.9732918,31.32076446
-0.358254307,81,0.572202366,378.6977857,32.44845631
-0.024920973,80,0.624220763,411.6590198,35.26556823
0.30841236,76.66666667,0.520183969,426.6870785,36.84081379
0.641745693,73.33333333,0.416147175,441.3943346,38.71819686
